Age,Macro Precision,Macro Recall,Macro F1,Accuracy
Young,0.7135681958568222,0.7117425497990433,0.7086810997148658,0.7171171171171171
Middle-Aged,0.7142778936392075,0.7003593145384189,0.7017259701083229,0.6982591876208898
Senior,0.6264479637429872,0.6059903622465935,0.60538425857176,0.6138211382113821
